[[ 2  0  0  0 11  0  2]
 [ 0  9  0  0  0  0  0]
 [ 0  0  8  0  1  0  0]
 [ 0  0  0  2 15  1  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  4 16  0]
 [ 1  0  0  1  9  0  5]]              precision    recall  f1-score   support

      bubble       0.67      0.13      0.22        15
    counting       1.00      1.00      1.00         9
   insertion       1.00      0.89      0.94         9
       merge       0.67      0.11      0.19        18
        none       0.00      0.00      0.00         0
       quick       0.94      0.80      0.86        20
   selection       0.71      0.31      0.43        16

    accuracy                           0.48        87
   macro avg       0.71      0.46      0.52        87
weighted avg       0.81      0.48      0.56        87
