[[ 0  0  0  2  9  0  4]
 [ 0  8  0  0  1  0  0]
 [ 0  0  8  0  1  0  0]
 [ 0  0  0 12  6  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  6 14  0]
 [ 2  0  0  1 10  0  3]]              precision    recall  f1-score   support

      bubble       0.00      0.00      0.00        15
    counting       1.00      0.89      0.94         9
   insertion       1.00      0.89      0.94         9
       merge       0.80      0.67      0.73        18
        none       0.00      0.00      0.00         0
       quick       1.00      0.70      0.82        20
   selection       0.43      0.19      0.26        16

    accuracy                           0.52        87
   macro avg       0.60      0.48      0.53        87
weighted avg       0.68      0.52      0.58        87
