[[ 4  0  1  0  3  0 11]
 [ 0 21  0  0  0  0  0]
 [ 2  0  2  0  1  0  0]
 [ 0  0  0 37  4  6  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  2  7 51  0]
 [12  0  0  0  2  0  7]]              precision    recall  f1-score   support

      bubble       0.22      0.21      0.22        19
    counting       1.00      1.00      1.00        21
   insertion       0.67      0.40      0.50         5
       merge       0.95      0.79      0.86        47
        none       0.00      0.00      0.00         0
       quick       0.89      0.85      0.87        60
   selection       0.39      0.33      0.36        21

    accuracy                           0.71       173
   macro avg       0.59      0.51      0.54       173
weighted avg       0.78      0.71      0.74       173
