[[ 5  0  0  1  0  0 10]
 [ 0 14  0  0  0  0  0]
 [ 0  0 11  0  0  0  0]
 [ 0  0  0 28  8  1  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  1 19 25  0]
 [ 9  0  0  0  1  0 10]]              precision    recall  f1-score   support

      bubble       0.36      0.31      0.33        16
    counting       1.00      1.00      1.00        14
   insertion       1.00      1.00      1.00        11
       merge       0.93      0.76      0.84        37
        none       0.00      0.00      0.00         0
       quick       0.96      0.56      0.70        45
   selection       0.50      0.50      0.50        20

    accuracy                           0.65       143
   macro avg       0.68      0.59      0.62       143
weighted avg       0.83      0.65      0.72       143
