[[ 6  0  0  0  3  0  9]
 [ 0 12  0  0  0  0  0]
 [ 0  0  8  0  2  0  0]
 [ 0  0  0 12  8  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  6 17  0]
 [ 4  0  0  0  9  0  4]]              precision    recall  f1-score   support

      bubble       0.60      0.33      0.43        18
    counting       1.00      1.00      1.00        12
   insertion       1.00      0.80      0.89        10
       merge       1.00      0.60      0.75        20
        none       0.00      0.00      0.00         0
       quick       1.00      0.74      0.85        23
   selection       0.31      0.24      0.27        17

    accuracy                           0.59       100
   macro avg       0.70      0.53      0.60       100
weighted avg       0.81      0.59      0.68       100
