[[ 5  0  0  1  3  0  9]
 [ 0 12  0  0  0  0  0]
 [ 0  0  9  0  1  0  0]
 [ 0  0  0  9  9  2  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0 22  1  0]
 [ 5  0  0  0  7  0  5]]              precision    recall  f1-score   support

      bubble       0.50      0.28      0.36        18
    counting       1.00      1.00      1.00        12
   insertion       1.00      0.90      0.95        10
       merge       0.90      0.45      0.60        20
        none       0.00      0.00      0.00         0
       quick       0.33      0.04      0.08        23
   selection       0.36      0.29      0.32        17

    accuracy                           0.41       100
   macro avg       0.58      0.42      0.47       100
weighted avg       0.63      0.41      0.47       100
