[[0 0 0 3 6 0 1]
 [0 4 0 0 5 0 0]
 [0 0 4 0 4 0 0]
 [0 0 0 7 2 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 6 4 0]
 [0 0 0 0 6 0 3]]              precision    recall  f1-score   support

      bubble       0.00      0.00      0.00        10
    counting       1.00      0.44      0.62         9
   insertion       1.00      0.50      0.67         8
       merge       0.70      0.78      0.74         9
        none       0.00      0.00      0.00         0
       quick       1.00      0.40      0.57        10
   selection       0.75      0.33      0.46         9

    accuracy                           0.40        55
   macro avg       0.64      0.35      0.44        55
weighted avg       0.73      0.40      0.50        55
