[[ 0  0  0  1  7  0  2]
 [ 0  2  0  0  7  0  0]
 [ 0  0  2  0  6  0  0]
 [ 0  0  0  5  4  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0 10  0  0]
 [ 0  0  0  0  6  0  3]]              precision    recall  f1-score   support

      bubble       0.00      0.00      0.00        10
    counting       1.00      0.22      0.36         9
   insertion       1.00      0.25      0.40         8
       merge       0.83      0.56      0.67         9
        none       0.00      0.00      0.00         0
       quick       0.00      0.00      0.00        10
   selection       0.60      0.33      0.43         9

    accuracy                           0.22        55
   macro avg       0.49      0.19      0.27        55
weighted avg       0.54      0.22      0.30        55
