[[ 4  0  2  0  0  0  7]
 [ 0 13  0  0  0  0  0]
 [ 2  0  4  0  0  0  0]
 [ 0  0  0 38  0  6  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  3 39 32  0]
 [ 7  0  0  0  0  0  4]]              precision    recall  f1-score   support

      bubble       0.31      0.31      0.31        13
    counting       1.00      1.00      1.00        13
   insertion       0.67      0.67      0.67         6
       merge       0.93      0.86      0.89        44
        none       0.00      0.00      0.00         0
       quick       0.84      0.43      0.57        74
   selection       0.36      0.36      0.36        11

    accuracy                           0.59       161
   macro avg       0.59      0.52      0.54       161
weighted avg       0.80      0.59      0.66       161
